name;address;postalcode;city;website;contact_person;contact_person_email;phone_number;description;looking_for
Exsited bv;Blokkestraat 41B;8550;Zwevegem;https://exsited.be;Gregory Vanhoucke;;473576999;Exsited is een design geori‰nteerd webbureau met een hele sterke technische achtergrond. We innoveren voortdurend om onze klanten de beste websites of webshops te kunnen aanbieden. Onze oplossingen moeten renderen onze klanten, wij leveren resultaatgericht webdesign.;"Front-end developers
Back-end developers
Full stack developers"
Indie Group BV;Kortrijkstraat 75;8550;Zwevegem;https://www.indiegroup.be;Piet Santy;;473835291;"Indie Group is gespecialiseerd in online ondernemen. Dat wil zeggen dat we bedrijven helpen bij online en digitaal ondernemen en dat reeds meer dan 20 jaar.
Onze kennis en ervaring is de afgelopen jaren dusdanig ge‰volueerd dat we met gepaste trots kunnen claimen alle facetten te beheersen die nodig zijn voor het ontwikkelen van een succesvol online project: online strategie & concept, technologische ontwikkeling & design en online marketing. Indie Group heeft deze drie expertises uitgewerkt in haar dienstverlening onder de noemers Plan, Build en Boost.
Indie Group is een proactieve partner. We denken mee met de klant en willen samen bouwen aan succesverhalen. We willen de business van de klant begrijpen en samen toegevoegde waarde cre‰ren voor hun organisatie. Samen denken, samen uitvoeren en samen groeien.
Tenslotte vervult Indie Group een inspirerende rol voor iedereen die het maximum wil halen uit online ondernemen. We houden jou op de hoogte van wat er leeft en heerst binnen het online ondernemerslandschap via ons magazine Indie Insights, nieuwsbrieven, video's, blogs en events.";"Je komt terecht in een toffe, ambitieuze en enthousiaste bende die elke dag opnieuw het verschil willen maken voor klanten zoals Duvel Moortgat, New paris Londres, Renson, Colora, Baunat, ...

Om dat verschil te blijven maken zijn op we op zoek naar:
- Webontwikkelaars backend
- Front-end ontwikkelaars
- Data analisten
- Custom ontwikkelaars"
Sint Catharinacollege Geraardsbergen;Collegestraat 11;9500;Geraardsbergen;www.sccg.be;Stefaan De Decker;;0477/524190;Educatieve instelling;office 365 security en algemene security audit ( netwerk, wifi, enz )
PwC Belgium;Woluwedal 18;1932;Brussels;https://www.pwc.be/en/careers/students-graduates.html;Lauranne La Rose;;473645332;"We guide. We support. You grow.
We go the distance. Not only for our clients, but also for our people. At PwC, you?re in the driver's seat on your own journey. We guide and support you at every turn. Whether you're looking for an internship or a great career start, we?re here to steer you in the right direction.
The world?s evolving at an unprecedented pace, and we?re here to help you navigate the road to your future. Just as we help clients meet their challenges head-on to stay ahead of the curve, we guide you along your career path so you can grow in a valuable and sustainable way. How? Through coaching, continuous learning, expert colleagues, flexibility, cutting-edge technology and the freedom to evolve. So together we can impact others in a meaningful way.

Take the journey with PwC, your career co-pilot, and discover the destinations your talent can take you! Visit www.careers.pwc.be and apply now.";"PwC Advisory?s a roadmap of possibilities, and you?re in the driver?s seat. Where you want to make an impact is always up to you. With the full support of our Advisory teams, you?ll delve into the inner workings of companies to find the best solutions for any challenge they might have. From the excitement of Deals to the complexities of Consulting and the fascinating realm of risks and threats in Forensics, you?ll help clients build trust and maintain their competitive edge, today and into the future. Now that?s making a difference.
"
Wax Interactive;Kortrijksesteenweg 62a;9830;Sint-Martens-Latem (Regio Gent);https://www.wax-interactive.com/;Wim Hoebeke;;32497058487;Wax Interactive is deel van de SQLI group, een internationale speler die zich inzet op het bepalen van digitale oplossingen en strategie voor hun klanten. We zijn actief in websites, app development, e-commerce oplossingen en experience websites. Naast onze development activiteiten, hebben we ons eigen UX, UI, SEO, SEA, CRO, CM, CM teams. Je kan een stage bekomen bepaald op 1 of cross meerdere activiteiten !;"We zoeken iemand die gemotiveerd en leergierig is, bereid is mee te werken aan proof-of-concepts voor R&D projecten en wil meedraaien bij de opzet van projecten voor klanten met grote visibiliteit.
Bij ons zal je de nodige kennis opdoen om je kennis bij te schaven en om te zetten naar de werkvloer, met de kans bij ons een vast deel van het team te worden !
De technologie die we gebruiken is: React, VueJS, Yarn, Node, Bootstrap, Symfony, Drupal, Magento.
We voorzien de nodige training en begeleiding zodat je vlot van start kan, en de kansen hebt bij te leren !"
CodeKick;Bruggestraat 137;8820;Torhout;codekick.be;Anthony Claeys;;+32 486 973 108;"Bij CodeKick zul je meewerken aan een commerci‰le web applicatie dat reeds in gebruik is bij meerdere klanten. Voor deze applicatie zul je in samenspraak een nieuwe module ontwikkelen. Deze module zal intern en door onze klanten gebruikt worden. Het doel van deze module is om de communicatie tussen specifieke ontwikkelaanvragen te stroomlijnen.

Het project werd ontwikkeld met de .NET stack (ASP.NET MVC, Entity Framework ...) en maakt gebruik van AngularJS als frontend. Alle live-omgevingen van klanten werken op Windows Azure. Je zult ook gebruik maken van externe API?s om diensten te koppelen, zoals MailChimp/Jira etc.

We zijn een jong team dat blijft groeien en leren. Iedereen in het team kan zijn mening uitspreken over problemen of idee‰n. Zo blijven we alert en kunnen we eventuele problemen vroeg opsporen.";"We zijn opzoek naar een student die flexibel is en ijverig is om bij te leren. Je werkt graag in team en houd van een uitdaging.

Als ‚‚n van de volgende technologie‰n jou wel aanspraakt dan is deze stage misschien wel iets voor jouw: C#, ASP.NET MVC, Entity Framework, AngularJS, HTML & CSS, SQL, Windows Azure ..."
Qite;Overzet 16a;9000;Gent;www.qite.be;Laura Van Bellinghen;;473609574;"Qite staat voor Digital Empowerment, een partnership waarbij wij onze klanten begeleiden ‚n versterken in al hun digitale projecten:

- Web & software development
- E-commerce & customer experience
- Automatisaties & integraties
- Mobile applications & hosting
- Online marketing & marketing automation";Hou je van innovatie en vernieuwende technologie‰n? Gaat je voorkeur uit naar een rol als full stack developer? Heb je interesse in .NET, Angular, React, Azure,... Dan ben je bij Qite aan het juiste adres! Het gebruik van nieuwe technologie‰n  en kwalitatieve code staan hier centraal en zo evolueert het team voortdurend mee. Verder hechten we ontzettend veel belang aan een leuke sfeer op kantoor. Ben je een teamspeler? Bij Qite zien we jou vanaf de eerste dag als 'part of our team'. Speel 's middags een potje kicker met ons, eet samen met je collega's een burger op vrijdag, ga mee op teambuilding, ... Je zal je hier ongetwijfeld zeer snel thuis voelen!
Numble;Veldkant 35C;2550;Kontich;https://www.numble.be/;Nicola Nauwynck;;32474841813;"Numble is een dynamisch en snelgroeiend bedrijf met kantoren in Gent en Kontich. We hebben een hele hoop passie en talent verzameld waarbij al onze werknemers met elkaar verbonden zijn door een gedeelde passie voor digitale innovatie ‚n het doel om kwaliteit op te leveren. We zijn voortdurend op zoek naar geschikte profielen om onze rangen te versterken om zo mee te werken aan in-house projecten!

Buiten het werk, dragen we de onderliggende cultuur ook hoog in het vaandel. We beschouwen onszelf meer als vriendengroep dan collega?s. We organiseren regelmatige leuke evenementen zoals team-etentjes, ons jaarlijkse team weekend, voetbal, LAN-parties, hamburgerdag,... om dit gevoel aan te sterken.";"Creative .NET / JS Wizard
We maken gebruik van .NET web api?s en JavaScript frontend frameworks om de business oplossingen van de toekomst vorm te geven. Door integraties met externe systemenen centraal te stellen zorgen we voor de automatische verwerking van grote hoeveelheden data. Dit gecombineerd met een op maat gemaakte visuele interface zorgt er voor dat ook jij kan meewerken aan zowel backend als frontend oplossingen.

Creative Umbraco Wizard
We gebruiken Umbraco, gekend als het gebruiksvriendelijkste .NET content management systeem, om grootschalige content websites te ontwikkelen waarbij integraties met externe systemen centraal staan. Zo ontwikkelen we voor grote websites als Sport Vlaanderen, Recupel, Qteam, ?"
Skedify nv;Zuiderlaan 1-3 bus 5;9000;Gent;skedify.me;Karen de Vlieger;;479540000;"Skedify is a tech company based in Gent. Our mission is simple. We enable companies to offer their customers the ability to schedule an appointment online, directly with the right advisor, by offering Omni-channels.

Skedify is a best-in-class SaaS customer appointment scheduling solution, enabling a frictionless experience for both customers and advisors.

Our focus is mature organizations with a large distribution network such as banks, insurance companies, travel agencies, health insurance, and much more.

Our team was created in 2014 and in the last couple of years, we've taken our first international steps.

We are looking for passionate employees to fulfill this ambition together with us.";"Experienced DevOps Engineer: DevOps engineer: cloud architecture and infrastructure, deployment, performance
Experienced Full-stack JavaScript Developer: Full stack JavaScript development: React & Node.JS
Experienced Full-stack Software Engineer: Full stack application development: Laravel, JavaScript, Node.JS, Architecture.
Experienced Back-end Software Engineer: Back-end development: PHP (Laravel), Node.js, MySQL"
DMS Communications;Vaartdijkstraat 19D;8200;Brugge;www.dms.be;Steven Dujardin;;50402000;"D|M&S Online te Brugge: Maakt van je website een sterke marketingtool !

Ben je toe aan een nieuwe website of wil je je online communicatie een boost geven om meer leads te genereren? D|M&S Online helpt je je digitale strategie te finetunen en je organisatie online sterker te profileren.

D|M&S Online ontwerpt en ontwikkelt websites op maat: van budgetvriendelijke Click&Go sites tot complete online platformen. Drupal and Laravel.

Check this out: https://www.dms.be/digital-communication";"Ben jij een digital native die zich wil smijten in de online communicatie? Als frontend developer/designer van (mobile) platforms en/of apps. Of liever als backend ICT-specialist. Drupal and Laravel.

Binnen ons web & mobile team krijg je alle ruimte om jezelf te bewijzen en je skills verder te finetunen. Je werkt dan ook onder begeleiding van onze senior developers en wordt direct mee ingeschakeld in boeiende projecten."
